date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:12	115/115	---M-Z	200	added ('OK')	text/plain	date:Mon,%2027%20May%202024%2019:26:10%20GMT	https://mimik.com/robots.txt		(from )
12:26:12	323778/323778	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2019:26:11%20GMT	https://mimik.com/	/Users/seyedsharif/Destop/%20XXMikMipha/MiKMiph/mimik.com/index.html	(from )
12:26:12	84805/84805	---M-Z	200	added ('OK')	text/css	etag:%2214b45-617ccaec7b6c9-gzip%22	https://mimik.com/wp-includes/css/dist/components/style.min.css?ver=6.5.3	/Users/seyedsharif/Destop/%20XXMikMipha/MiKMiph/mimik.com/wp-includes/css/dist/components/style.minef10.css	(from https://mimik.com/)
12:26:13	166/166	---M-Z	200	added ('OK')	text/css	etag:%22a6-60c9a052bf4e9-gzip%22	https://mimik.com/wp-content/plugins/lottiefiles/build/lottiefiles-frontend.css.css?ver=1827f92ff530924e3ad2	/Users/seyedsharif/Destop/%20XXMikMipha/MiKMiph/mimik.com/wp-content/plugins/lottiefiles/build/lottiefiles-frontend.css3fec.css	(from https://mimik.com/)
12:26:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2019:26:14%20GMT	http://unpkg.com/	/Users/seyedsharif/Destop/%20XXMikMipha/MiKMiph/unpkg.com/index.html	(from https://mimik.com/)
12:26:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2019:26:14%20GMT	http://static.addtoany.com/	/Users/seyedsharif/Destop/%20XXMikMipha/MiKMiph/static.addtoany.com/index.html	(from https://mimik.com/)
12:26:14	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20May%202024%2019:26:14%20GMT	http://fonts.googleapis.com/	/Users/seyedsharif/Destop/%20XXMikMipha/MiKMiph/fonts.googleapis.com/index.html	(from https://mimik.com/)
12:26:14	95008/95008	---M-Z	200	added ('OK')	application/rss+xml	etag:%2235ff966028320ca5327033afef2e9c68-gzip%22	https://mimik.com/feed/	/Users/seyedsharif/Destop/%20XXMikMipha/MiKMiph/mimik.com/feed/index.html	(from https://mimik.com/)
12:26:15	38599/38599	---M-Z	200	added ('OK')	text/css	etag:%2296c7-616b60a26a17b-gzip%22	https://mimik.com/wp-content/plugins/wp-job-openings/assets/css/general.min.css?ver=3.4.6	/Users/seyedsharif/Destop/%20XXMikMipha/MiKMiph/mimik.com/wp-content/plugins/wp-job-openings/assets/css/general.min9bf7.css	(from https://mimik.com/)
12:26:16	18821/18821	---M-Z	200	added ('OK')	text/css	etag:%224985-616b60a26a17b-gzip%22	https://mimik.com/wp-content/plugins/wp-job-openings/assets/css/style.min.css?ver=3.4.6	/Users/seyedsharif/Destop/%20XXMikMipha/MiKMiph/mimik.com/wp-content/plugins/wp-job-openings/assets/css/style.min.39bf7.delayed	(from https://mimik.com/)
